AkshayM,day_0,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12
harry brook,0.0,0.0,123.0,123.0,123.0,147.0,147.0,147.0,166.0,166.0,209.0,209.0,209.0
nathan ellis,0.0,0.0,0.0,0.0,0.0,204.0,204.0,224.0,224.0,224.0,226.0,226.0,226.0
brendan taylor,0.0,0.0,0.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0
rinku singh,0.0,17.0,17.0,17.0,17.0,17.0,16.0,16.0,16.0,76.0,76.0,76.0,106.0
darwish rasooli,0.0,0.0,38.0,38.0,38.0,52.0,52.0,52.0,52.0,52.0,116.0,116.0,116.0
abrar ahmed,0.0,87.0,87.0,87.0,107.0,107.0,107.0,107.0,107.0,70.0,70.0,70.0,70.0
mohammad nawaz,0.0,69.0,69.0,69.0,128.0,128.0,128.0,128.0,128.0,167.0,167.0,167.0,227.0
khawaja nafay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
dushmantha chameera,0.0,0.0,48.0,48.0,48.0,48.0,118.0,118.0,118.0,118.0,174.0,174.0,174.0
shadab khan,0.0,30.0,30.0,30.0,200.0,200.0,200.0,200.0,200.0,203.0,203.0,203.0,430.0
finn allen,0.0,0.0,1.0,1.0,203.0,203.0,203.0,203.0,277.0,277.0,277.0,329.0,329.0
